Filename,Cohort,I plan tasks carefully,I do things without thinking,I make up my mind quickly,I am happy-go-lucky,I don't pay attention,I have racing thoughts,I plan trips well ahead of time,I am self-controlled,I concentrate easily,I save regularly,I squirm at plays or lectures,I am a careful thinker,I plan for job security,I say things without thinking,I like to think about complex problems,I change jobs,I act on impulse,I get easily bored when solving thought problems,I act on the spur of the moment,I am a steady thinker,I change residences,I buy things on impulse,I can only think about one thing at a time,I change hobbies,I spend or charge more than I earn,I often have extraneous thoughts when thinking,I am interested in the present rather than the future,I am restless at the theater or lectures,I like puzzles,I am future-oriented
ms_00_0002,0.0,0.48156706733552634,0.5348339281085527,0.5070748269572368,0.510670094111842,0.4595745436842106,0.49476448945723683,0.5374182558059211,0.5015787378618421,0.44081493,0.48423108024671047,0.5474684195065789,0.5208941135197369,0.5405405855427631,0.50009189875,0.5578685625657895,0.5078595724506578,0.5115044164967105,0.5267889043914473,0.46959363968749995,0.529331757993421,0.473597421694079,0.5140738212828948,0.5406980683223684,0.5436964444078948,0.54178886125,0.5348443584703947,0.540897355625,0.5572870631414474,0.4779628087335526,0.5112721012993421
ms_00_0003,0.0,0.46243736293193716,0.5389689067015707,0.5062548837172774,0.5151963645549738,0.46386744916230366,0.48436691418848166,0.5383899812041885,0.4887642002617801,0.4141626129319371,0.4592022229319372,0.5526350067539267,0.513845885183246,0.5353095665445027,0.5085811581675392,0.5651044438743456,0.49311968455497385,0.4977334123036649,0.5303954215183245,0.4764647940837696,0.5175791149214659,0.45713208146596856,0.5108126638219895,0.5612416020942409,0.5333084729319372,0.5347901107329843,0.5374512058115183,0.5492548892146597,0.5537541586387434,0.46583992486910997,0.49615746811518324
ms_00_0005,0.0,0.49781104523648645,0.5636841370608108,0.5288754004054054,0.5316355801689189,0.49400233375,0.5097816838175676,0.553103964222973,0.5267504722297297,0.46239352939189193,0.4978242719256757,0.5719621416891892,0.5420374341216216,0.5567004628716216,0.5319454852364865,0.5759048804391892,0.5283649747635135,0.5319851553716216,0.5387452505405406,0.4862885811486487,0.5472541212837837,0.5020877641554055,0.5320664500337837,0.5621792319932433,0.5653286626689189,0.5480291216554054,0.5423547052027027,0.5524819012162162,0.5741589230743243,0.5107042389189189,0.5292378297972973
ms_00_0006,0.0,0.4745849128571428,0.5350728346218487,0.5173491689285714,0.5255425285084033,0.47334356731092436,0.5019647101050421,0.5336341411554621,0.5018353592857143,0.44837713380252103,0.48453640226890754,0.5448016028781513,0.5142653239915966,0.5398535433613445,0.5121919068907563,0.5550843899579831,0.5103864638025211,0.5120488900420168,0.5158291490546218,0.4700081330672269,0.520018407394958,0.4813637793487395,0.5100344701260504,0.5419386856722689,0.5450589883193278,0.521197995315126,0.5188851422478992,0.537945796302521,0.5503985453361345,0.4977353640756303,0.5142262721008404
ms_00_0007,0.0,0.4804759328458498,0.5415659812648221,0.5190774652173913,0.5197733561264821,0.4709669718181818,0.4896017530039526,0.5463142037549407,0.5056173460474308,0.43932334656126487,0.4799023138735178,0.5471987492094862,0.529044347944664,0.5354613138735178,0.509444981660079,0.5606297707114625,0.5092675015019763,0.5129977920158103,0.5272958671541502,0.4819504139130435,0.5329650765612648,0.4770093596837945,0.5062443259288537,0.564455074229249,0.5436075859683795,0.5357538335573122,0.5339423493675889,0.5530021094071147,0.5521012336363637,0.4825152944664032,0.5187124356126482
ms_00_0008,0.0,0.48857362632352935,0.5456297688970588,0.5277245230882354,0.5209959066911765,0.4675372252205882,0.5010732993382353,0.5514337845588235,0.5086665099264706,0.44344175625,0.48271881286764706,0.5589298955882352,0.5440576183823529,0.5605857305882354,0.5090545381617647,0.5766166255147058,0.50692461125,0.5128454683823529,0.549735454632353,0.4799475805147059,0.5511234033088236,0.47766215639705883,0.5171461245588235,0.5755122079411764,0.551480503014706,0.5490385223529411,0.5512564679411766,0.567301468235294,0.5803185335294118,0.4786151272058823,0.5241268947058824
ms_00_0009,0.0,0.47043685953296704,0.5266298843131868,0.5045153576098902,0.5220630250274725,0.4366227514560439,0.4847290566758242,0.5380676160164835,0.49613616134615385,0.42235144112637363,0.47640107228021983,0.5389040530769231,0.5184485099450549,0.539346381978022,0.4928705711538462,0.5606448878296703,0.49485373285714285,0.5063375940934066,0.5196971177472527,0.48447465277472523,0.5259769433516484,0.46763451115384613,0.4987262768956044,0.5638034326098901,0.5390993247802198,0.5293652069505494,0.5279150499725275,0.5663021140384615,0.5537148540934066,0.4607115356868132,0.5220381051923078
ms_00_0010,0.0,0.4821873273563218,0.5446413821072797,0.5251257225670498,0.5264505978160919,0.4587181588505747,0.49077124498084296,0.5526691152107279,0.521197115210728,0.43405112632183906,0.47356021455938696,0.550583660651341,0.5439719570498084,0.5467452963984675,0.5071065313409961,0.583414972605364,0.4969236116858237,0.5163458594636015,0.5407672780842911,0.4998851623754789,0.5490900077394636,0.47444161421455944,0.5028285309195403,0.5835548193103449,0.5436107273946361,0.5399539404980843,0.5540857440613027,0.5780325655555556,0.563539514980843,0.47163100697318006,0.5330000380842912
ms_00_0011,0.0,0.489821076723301,0.5475776065048544,0.5150967546359223,0.5176955930339806,0.45889933558252427,0.5025484451699029,0.5485337637621359,0.5084539500242719,0.4463415839563107,0.488027025315534,0.5504420656067961,0.5408439467961166,0.5562995936893204,0.5080205586893204,0.5900039836165049,0.5101577969174758,0.5254449516019418,0.5533421538592233,0.4867594820873787,0.5489762940291262,0.4804259495873786,0.5199093700970874,0.5629681072330097,0.5563106052427185,0.5442658260922331,0.5565253167718447,0.5682975214805825,0.5618841863106796,0.48858337092233006,0.5344867652184466
ms_00_0012,0.0,0.49021216037735854,0.5544483676226415,0.5103036209056604,0.5198726016981132,0.46349941033962266,0.4931279210566038,0.5544253314716981,0.5157359810188679,0.4358354392075472,0.48560206101886794,0.5623891093584905,0.5437940578113207,0.5571087804528302,0.5108610587924528,0.588908554981132,0.5184154695849057,0.5127884781132075,0.5506960647924528,0.4744018821509434,0.5474082042264151,0.4774938420754717,0.5267815215471698,0.5679630463396227,0.563652668037736,0.5628554531698113,0.5497848274339623,0.5655225969433962,0.5799701085660377,0.4906647872075472,0.5274476507169812
ms_00_0013,0.0,0.49831059018292684,0.549696525945122,0.5075166681402439,0.5058898657317072,0.4499122692682927,0.496221936402439,0.5413968868292682,0.518032696707317,0.4428893511585366,0.4938848849695122,0.5498251972865854,0.535877423292683,0.5463445192682926,0.512917161707317,0.5798997478353659,0.5199485910060976,0.5263935710670732,0.5545361269512196,0.4741204004878049,0.538681542652439,0.48896750457317073,0.526676476097561,0.5578322762195121,0.5603110359146342,0.5559123641158537,0.5515081631097561,0.5669092485365853,0.5694761068597561,0.4779109337195122,0.5261169314939024
ms_00_0014,0.0,0.4824356215577889,0.5351624343718593,0.5045714235678392,0.5125566121105527,0.43873705487437187,0.4747196851256281,0.5575406828140703,0.5138713231658292,0.41439332286432157,0.4632413289447236,0.5517650555778895,0.5552724406532663,0.5478435029145728,0.48838832613065325,0.5909075608040202,0.48368198201005025,0.505392573718593,0.5571784101005025,0.4953762943718593,0.5539603732663316,0.4551890254271357,0.5066200163316583,0.5733261487437186,0.5461870845226131,0.5521315163316584,0.5715080465326633,0.5885443570351759,0.5687396963819096,0.4566766009045226,0.5386721719095477
ms_00_0015,0.0,0.46846897824,0.54689774496,0.51626645456,0.49747561424000003,0.45278151479999995,0.47758092376,0.5393368796,0.5021710588,0.40292087112,0.44471395536,0.55289734776,0.5389139308,0.53428145352,0.50833143408,0.59494474696,0.48358140544,0.50295985184,0.56454776936,0.48757647911999996,0.5398974716,0.45738280016,0.5034878848000001,0.5862292958399999,0.5373380112,0.54407084592,0.57755061216,0.5862944721600001,0.56955384848,0.44944848328,0.51487239616
